question,label
How many transactions involved luxury brands?,0
What is the average spending on eco-friendly products?,0
How many purchases were made for home improvement projects?,0
What is the total spending on services versus goods?,0
Which month had the most significant decline in spending?,1
How many purchases were made that were not categorized?,1
What is the total amount spent on personal projects?,2
How many items were acquired for events or parties?,0
What is the average price for experiences compared to physical items?,0
How many purchases involved returning items?,2
What was the total expenditure on limited edition items?,0
How many transactions were made for online purchases?,2
What is the cumulative spending on essentials throughout the year?,2
How many purchases were made for cultural events?,0
What is the average spending on gifts for others?,0
How many items were bought that were later gifted?,2
What was the total cost of items purchased for leisure activities?,0
How many purchases involved seasonal discounts?,2
What is the total amount spent on travel-related experiences?,0
How many transactions were made for wellness services?,0
What is the average price of items bought for home decoration?,1
How many items were purchased for community events?,0
What is the total expenditure on gadgets and devices?,0
How many purchases were made for outdoor activities?,0
What is the total amount spent on subscriptions for the year?,1
How many items were bought for family members?,2
What is the average cost of all purchases made in the electronics category?,1
How many transactions were made for furniture upgrades?,0
What is the total spending on sports-related items?,0
How many purchases were made for entertainment in September?,1
What is the average expenditure on travel each month?,1
How many items were bought for charitable donations?,2
What is the total amount spent on professional services?,0
How many purchases were made in the educational category?,0
What is the total expenditure on home office supplies?,0
How many items were acquired through promotions or sales?,2
What is the price range for items in the fashion category?,1
How many purchases were made for self-improvement?,0
What is the cumulative spending on health and wellness products?,0
How many transactions were made in the beauty category?,0
What was the total expenditure on items bought for family gatherings?,0
How many items were bought for personal enjoyment?,0
What is the average spending on luxury clothing?,0
How many purchases were made in the home and garden category?,0
What is the total spending on festive decorations?,0
How many items were bought for personal development?,0
What is the average cost of leisure items?,0
How many purchases were made for sporting events?,0
What is the total amount spent on technological advancements?,0
How many items were purchased that involved a membership?,0
What is the average price for gifts bought for friends?,0
How many purchases were made in the arts and crafts category?,0
What is the total amount spent on travel experiences compared to material items?,0
How many items were bought on holidays?,1
What is the most frequent category of purchases in the past 6 months?,1
How many items were bought in the clothing category in 2023?,1
What is the total amount spent on accessories in 2023?,1
Which item had the lowest price in the furniture category?,1
What was the most frequent purchase category in October 2023?,1
How many purchases were made in the travel category in the last quarter?,1
What is the average cost of items bought in the month?,1
What is the total amount spent on groceries in the last year?,1
How many purchases were made in the electronics category in the last 3 months?,1
What is the most expensive item bought in the entertainment category?,1
How many items were bought on weekends in 2023?,1
What is the average amount spent per purchase in the past 12 months?,1
How many purchases were made in the restaurant category during holidays?,1
What is the total amount spent on transportation in the past month?,1
Which month had the highest total spending in 2023?,1
How many items were bought in the home improvement category last year?,1
What is the total amount spent on personal care products in 2023?,1
How many times was an item purchased in the office supplies category?,1
What is the most frequent category of purchases made on weekdays?,1
How many purchases were made in the healthcare category in the last year?,1
What was the total spending in the month of November 2023?,1
What is the total amount spent on subscriptions in the last year?,1
How many items were bought in the sports equipment category in 2023?,1
What is the total amount spent on education-related purchases in the past 6 months?,1
How many purchases were made in the gifts category last year?,1
What is the total amount spent on luxury items in the last quarter?,1
How many items were bought in the pets category in 2023?,1
What is the most frequent purchase category during the winter season?,1
How many purchases were made in the home appliances category in the past year?,1
What is the total amount spent on memberships in 2023?,1
How many purchases were made in the tech accessories category in the past 6 months?,1
What is the most expensive item purchased in the past 12 months?,1
What is the total amount spent on groceries?,0
How many purchases were made in the electronics category?,1
What is the most expensive item bought in the entertainment category?,1
How many items were bought on weekends?,1
What is the average amount spent per purchase?,1
How many purchases were made in the restaurant category during holidays?,1
What is the total amount spent on transportation?,0
Which category had the highest total spending?,1
How many items were bought in the home improvement category?,0
What is the total amount spent on personal care products?,0
How many times was an item purchased in the office supplies category?,2
What is the most frequent category of purchases made on weekdays?,1
How many purchases were made in the healthcare category?,0
What is the total amount spent on subscriptions?,0
How many items were bought in the sports equipment category?,0
What is the total amount spent on education-related purchases?,0
How many purchases were made in the gifts category?,0
What is the total amount spent on luxury items?,0
How many items were bought in the pets category?,0
What is the most frequent purchase category during the winter season?,1
How many purchases were made in the home appliances category?,1
What is the total amount spent on memberships?,0
How many purchases were made in the tech accessories category?,0
What is the most expensive item purchased?,1
How many items were bought during the summer season?,1
What is the most frequent purchase category?,1
What is the total amount spent on recreational activities?,0
How many purchases were made in the vehicle maintenance category?,0
What is the average cost of items in the beauty category?,0
How many items were bought in the travel category?,1
How many items were bought in the electronics category last month?,1
What is the total amount spent on groceries this year?,1
How many purchases were made in the entertainment category in the last 6 months?,1
What is the total amount spent on dining out in the past 3 months?,1
What was the most expensive purchase made this year?,1
How many items were bought in the clothing category last year?,1
What is the total amount spent on travel in the last 2 years?,1
How many times was an item purchased in the sports category in the past 12 months?,1
What is the average amount spent on electronics in the last 6 months?,1
How many purchases were made in the food and beverages category last week?,1
What is the total amount spent on home renovation this year?,1
How many purchases were made during the Black Friday sales?,1
What is the most frequent purchase category in the past 6 months?,1
How many items were bought in the vehicle maintenance category this quarter?,1
What is the total amount spent on entertainment this year?,1
How many purchases were made in the furniture category in the past 3 months?,1
What is the most expensive item purchased in the health and fitness category?,1
How many purchases were made in the dining category in the last 2 weeks?,1
What is the total amount spent on subscriptions last year?,1
How many items were bought during the winter holidays?,1
What is the average cost of purchases in the personal care category?,0
How many times was an item purchased in the office supplies category this year?,1
What is the most frequent purchase category in the last 3 months?,1
How many purchases were made in the technology category in the past month?,1
What is the total amount spent on outdoor equipment last year?,1
How many items were bought in the grocery category in the past 12 months?,1
What is the total amount spent on luxury items this quarter?,1
How many purchases were made in the pet care category last year?,1
What is the most frequent purchase category in the spring season?,1
How many items were bought in the home appliances category this month?,1
What is the total amount spent on fitness equipment in the last 6 months?,1
How many times was an item purchased in the travel category last month?,1
What is the most expensive item purchased during the holiday season?,1
How many purchases were made in the hobby supplies category this year?,1
What is the total amount spent on books and education-related purchases last year?,1
How many items were bought in the holiday shopping season?,1
What is the average amount spent on restaurant dining in the past 2 months?,1
How many purchases were made in the clothing and apparel category this quarter?,1
What is the total amount spent on household essentials this year?,1
How many times was an item purchased in the kitchenware category in the last 3 months?,1
What is the total amount spent on leisure activities this summer?,1
How many items were bought during the spring sales this year?,1
What is the most frequent purchase category in the last 12 months?,1
How many purchases were made in the cosmetics category last year?
What is the total amount spent on home decor in the past 6 months?,1
How many times was an item purchased in the jewelry category this year?,1
What is the most expensive item purchased in the home improvement category last month?,1
How many purchases were made in the personal care category this season?,1
What is the average cost of items in the technology accessories cate50gory?,0
How many items were bought during the fall sales season this year?,1
How many planets are in the solar system?,2
What is the capital of Iceland?,2
How many types of penguins exist in the world?,2
What’s the fastest land animal?,2
How long does it take for light to reach Earth from the Sun?,2
Who painted the Mona Lisa?,2
What’s the highest mountain on Earth?,2
How many bones are in the human body?,2
What’s the largest ocean on Earth?,2
Who invented the telephone?,2
How many countries are there in Africa?,2
What’s the chemical symbol for gold?,2
Who wrote Pride and Prejudice?,2
What is the most spoken language in the world?,2
How long is a marathon?,2
What’s the smallest country in the world by land area?,2
How many states are in the United States?,2
What year did the Titanic sink?,2
Who was the first person to walk on the moon?,2
What’s the boiling point of water in Celsius?,2
How many hearts does an octopus have?,2
What’s the tallest building in the world?,2
Who is known as the father of computers?,2
What’s the deepest point in the ocean?,2
How many days are in a leap year?,2
What’s the largest mammal on Earth?,2
Who developed the theory of relativity?,2
How many colors are in a rainbow?,2
What’s the currency of Japan?,2
Who was the first female Prime Minister of the UK?,2
What is the square root of 144?,2
How many moons does Mars have?,2
Who is the author of The Catcher in the Rye?,2
What’s the most populous city in the world?,2
How many letters are in the English alphabet?,2
What’s the longest river in the world?,2
What year did World War II end?,2
Who painted the Sistine Chapel ceiling?,2
How many elements are in the periodic table?,2
What’s the speed of sound in air?,2
What is the national animal of Canada?,2
Who directed the movie Inception?,2
What’s the highest-grossing film of all time?,2
How many continents are there on Earth?,2
What’s the largest desert in the world?,2
Who discovered penicillin?,2
How many muscles are in the human body?,2
What’s the most visited museum in the world?,2
How long does it take for Earth to orbit the Sun?,2
Who invented the World Wide Web?,2
